date,timestamp,CVRoot,device_id,device_type,productid,product_name,app_category,country,state,city,IPregion,Market,language,user_age_group,install_hresult,purchase_hresult,install_success,payment_amount,payment_method,session_duration,AppVersion,OSversion
01-04-2026,01-04-2026 16:00,YvGP0Hj34iW3Bf9yeRxb1K,g:092555368265891562,mobile,GAM_067,game_app_067,game,US,WA,CityC,US,US,EN,54,0x26f91fa,0x2a572e3,FALSE,842,card,3286,27354.1401.5.0,10.0.27047
01-04-2026,01-04-2026 13:13,oOVRnTMwkv3wRJ3p87Y5xq,g:474452622316180260,desktop,PRO_017,productivity_app_017,productivity,DE,HH,CityD,DE,DE,OTHER,23,0x24ecf8d,0x18002a7,TRUE,1251,wallet,2256,20351.1401.5.0,10.0.24667
01-04-2026,01-04-2026 23:56,GVsn2lQ9qJoBoOWAXeHK4U,g:801027919469567145,desktop,GAM_010,game_app_010,game,US,WA,CityE,US,US,OTHER,53,0x5818247,0x6db119,TRUE,1124,none,4869,26016.1401.5.0,10.0.23597
01-04-2026,01-04-2026 10:47,S6SmRZuLsuy9OAEF8zjKVj,g:935544072412114160,mobile,GAM_078,game_app_078,game,US,WA,CityC,US,US,EN,34,0x202242a,0x18834fc,TRUE,713,wallet,943,23834.1401.5.0,10.0.22954
01-04-2026,01-04-2026 15:56,Yly1i3vd50MUkIBuq0eVBM,g:986461637353560420,mobile,GAM_067,game_app_067,game,UK,ENG,CityE,UK,UK,EN,25,0x30cac96,0x12deef0,FALSE,1084,card,3152,24728.1401.5.0,10.0.29864
01-04-2026,01-04-2026 16:20,sQJ3iTnqDJDsX1tb0jt0lT,g:353667852199371343,mobile,GAM_079,game_app_079,game,IN,GJ,CityA,IN,IN,EN,57,0x4a7e353,0x3f0f53a,FALSE,359,card,3778,28366.1401.5.0,10.0.28831
01-04-2026,01-04-2026 16:08,YxlSoTicD1zyWgW9P8VO9C,g:185999158817081953,mobile,GAM_050,game_app_050,game,UK,SCT,CityC,UK,UK,OTHER,51,0x330ca95,0x9286a9,TRUE,546,card,4382,22172.1401.5.0,10.0.24280
01-04-2026,01-04-2026 11:33,A4EAgiNGxsIOVixz9EbEx3,g:774509090607646108,mobile,HEA_007,health_app_007,health,US,GA,CityB,US,US,EN,30,0x461e0e8,0x5908e75,TRUE,464,wallet,3712,22570.1401.5.0,10.0.20706
01-04-2026,01-04-2026 13:53,5ZQQPtiR3lN2Ud1KIMt4pO,g:094616955773800220,mobile,SOC_028,social_app_028,social,IN,DL,CityE,IN,IN,EN,57,0x3bbc274,0x196e6a4,TRUE,309,wallet,3358,29299.1401.5.0,10.0.25800
01-04-2026,01-04-2026 12:55,oXSyCcnfdCYEmIk1L9CTfX,g:980391762637633716,mobile,SOC_028,social_app_028,social,US,IL,CityD,US,US,EN,18,0x10e3ab,0x971df7,TRUE,34,card,2128,27956.1401.5.0,10.0.29872
01-04-2026,01-04-2026 02:47,rNQ7eBuQzmaQOYba8NFEhn,g:253201486068418510,tablet,HEA_000,health_app_000,health,UK,SCT,CityA,UK,UK,EN,36,0x5546976,0x5d7bf11,FALSE,1208,card,1153,20934.1401.5.0,10.0.23802
01-04-2026,01-04-2026 14:11,P3D4YI2xfiGs9WBUe6SU4H,g:155848189301157519,mobile,SOC_002,social_app_002,social,IN,MH,CityD,IN,IN,OTHER,41,0x578a29b,0x502b28f,FALSE,440,upi,2758,22783.1401.5.0,10.0.22676
01-04-2026,01-04-2026 10:11,vqqrWrW9lMj7XqV4xpKK3m,g:640615204713079960,desktop,GAM_040,game_app_040,game,UK,WLS,CityE,UK,UK,OTHER,33,0x25cf1f4,0x3571075,TRUE,596,card,2716,25175.1401.5.0,10.0.27612
01-04-2026,01-04-2026 15:41,KBvj5Q3pGzTgEOfBmsa1fC,g:059807264705650817,desktop,SOC_019,social_app_019,social,DE,BW,CityC,DE,DE,EN,55,0x52c36b0,0x1b42f72,TRUE,1078,none,809,22785.1401.5.0,10.0.20115
01-04-2026,01-04-2026 09:44,Cz0Gpoojqt4Mj5QfrCF2ZY,g:700646230768826374,mobile,SOC_028,social_app_028,social,US,AZ,CityB,US,US,OTHER,46,0x32e3875,0x48e8222,TRUE,1145,card,3303,24798.1401.5.0,10.0.21071
01-04-2026,01-04-2026 17:55,Abw3OBWqoXEYb0BNBRANJN,g:782178553386073583,desktop,FIN_018,finance_app_018,finance,US,NY,CityC,US,US,EN,49,0x4d60c45,0x55e0c29,TRUE,543,none,4857,22430.1401.5.0,10.0.27838
01-04-2026,01-04-2026 14:12,oavK1YiZO9sWHe6MhHEQPS,g:387529693002369392,mobile,PRO_026,productivity_app_026,productivity,CA,MB,CityD,CA,CA,OTHER,39,0x51583e1,0x24dce6b,TRUE,835,upi,4153,20598.1401.5.0,10.0.24022
01-04-2026,01-04-2026 18:12,ADzRE0nCsIEH73BN8hccny,g:151831762042449666,tablet,GAM_051,game_app_051,game,US,FL,CityE,US,US,EN,52,0x242e34c,0x4eabcf7,FALSE,711,upi,25,21980.1401.5.0,10.0.20831
01-04-2026,01-04-2026 08:51,SJ2ONSMiCprkaewnLs5SsW,g:791308495675075847,desktop,GAM_067,game_app_067,game,US,GA,CityD,US,US,OTHER,28,0x490634e,0x4364891,FALSE,1163,upi,2126,20391.1401.5.0,10.0.28133
01-04-2026,01-04-2026 12:41,C0bapxYX4wKIDT8FfsQidt,g:742262512658458560,desktop,PRO_017,productivity_app_017,productivity,IN,GJ,CityA,IN,IN,EN,42,0x4236337,0xdf9488,TRUE,760,card,2473,27941.1401.5.0,10.0.22218
01-04-2026,01-04-2026 15:33,qyHjjdAAMRbpljLXJPjW7W,g:323259092571153729,mobile,SOC_028,social_app_028,social,IN,RJ,CityC,IN,IN,EN,33,0x5a9c1d3,0x5198cda,TRUE,315,wallet,956,25128.1401.5.0,10.0.26838
01-04-2026,01-04-2026 22:23,4fnaSizqdeB0ENSqYYlKd0,g:580016887633155184,desktop,SOC_028,social_app_028,social,UK,WLS,CityB,UK,UK,EN,31,0x1dd2cc0,0x1b57c1,TRUE,1017,none,1201,21077.1401.5.0,10.0.21995
01-04-2026,01-04-2026 16:50,GmmGD4RHo1DFg05379RWCr,g:190509121798608520,desktop,PRO_013,productivity_app_013,productivity,UK,NIR,CityC,UK,UK,EN,48,0x1979115,0x129a9e5,TRUE,725,card,3182,25375.1401.5.0,10.0.22151
01-04-2026,01-04-2026 02:10,c47n1ii9wL8YGnhrjO7V5k,g:766219423797520449,mobile,EDU_011,education_app_011,education,DE,NI,CityB,DE,DE,OTHER,27,0x71f740,0x1ffeb77,FALSE,278,card,3365,22874.1401.5.0,10.0.27531
01-04-2026,01-04-2026 06:58,Vcy5usVAtAEz1oGRdQiGUs,g:849509461906245390,mobile,SOC_028,social_app_028,social,IN,DL,CityC,IN,IN,OTHER,38,0x3a87ff,0x68b73d,TRUE,648,none,3798,24536.1401.5.0,10.0.21748
01-04-2026,01-04-2026 20:19,rT1r6E93Mao2fbJQ5EqTwo,g:255019846052377293,desktop,GAM_067,game_app_067,game,US,WA,CityB,US,US,EN,19,0x36b315b,0xcd243b,TRUE,1216,upi,3453,26573.1401.5.0,10.0.27250
01-04-2026,01-04-2026 21:30,UQXQpoyh1ijPcQmPJMwk5R,g:263431186672738413,desktop,GAM_046,game_app_046,game,IN,WB,CityB,IN,IN,EN,52,0x3af89cb,0x3de4bb9,TRUE,88,upi,2373,21357.1401.5.0,10.0.22539
01-04-2026,01-04-2026 07:55,88sRP3rHkVJDqOq45yAQzs,g:223820076483113865,mobile,GAM_057,game_app_057,game,US,GA,CityE,US,US,OTHER,55,0x4bbed79,0x26a21c8,TRUE,296,none,1194,25734.1401.5.0,10.0.23400
01-04-2026,01-04-2026 14:42,8RbZEha6D91a0sUsC1H4EH,g:378969521381872628,desktop,GAM_067,game_app_067,game,IN,GJ,CityD,IN,IN,OTHER,56,0x4cb8359,0x343fde0,TRUE,92,card,1145,24581.1401.5.0,10.0.29032
01-04-2026,01-04-2026 14:48,mUTE2wT5bL0gQZ6i5brYjx,g:032982398231715424,desktop,GAM_060,game_app_060,game,DE,BY,CityE,DE,DE,OTHER,50,0x156ff14,0xb821ec,TRUE,364,upi,3687,26678.1401.5.0,10.0.27808
01-04-2026,01-04-2026 06:59,B3gfDrQZ6t8T6BJgwIDy7Q,g:897138774546674907,mobile,GAM_060,game_app_060,game,US,WA,CityD,US,US,EN,46,0x130529e,0x4e59783,TRUE,220,card,3916,27678.1401.5.0,10.0.20381
01-04-2026,01-04-2026 17:43,ABvRr5sKlpJPhw92QoZCLJ,g:377245313375205555,mobile,GAM_067,game_app_067,game,IN,GJ,CityE,IN,IN,OTHER,58,0x537515f,0x3d50578,TRUE,441,card,320,29225.1401.5.0,10.0.22463
01-04-2026,01-04-2026 17:28,NP0Ax83ex47S2coC3fQwFR,g:177070850664043962,mobile,GAM_060,game_app_060,game,UK,NIR,CityD,UK,UK,EN,61,0x1a105eb,0x2e129a2,TRUE,970,card,3148,24328.1401.5.0,10.0.25114
01-04-2026,01-04-2026 12:08,loS8WkuwL1ftrny82gSDIH,g:974355964215726450,mobile,HEA_008,health_app_008,health,IN,TN,CityD,IN,IN,EN,18,0x41926e8,0x378e33e,TRUE,638,wallet,412,24867.1401.5.0,10.0.25702
01-04-2026,01-04-2026 18:50,L05SHnhE4PckBOnpxBCE0B,g:616020374062996290,mobile,GAM_038,game_app_038,game,CA,NB,CityD,CA,CA,EN,38,0x1cecf3e,0x3d3f490,TRUE,30,wallet,2981,27552.1401.5.0,10.0.26092
01-04-2026,01-04-2026 13:36,Gq7abXROaeH7vRNNPnIwgB,g:400223138275442458,mobile,SOC_019,social_app_019,social,US,TX,CityD,US,US,OTHER,51,0x5bf3ea2,0x4826060,TRUE,699,card,3627,23577.1401.5.0,10.0.23297
01-04-2026,01-04-2026 06:25,O6mfnjnYQRv5OZTIFgpGcg,g:178650404270520061,desktop,PRO_019,productivity_app_019,productivity,CA,SK,CityD,CA,CA,OTHER,54,0x2c679e4,0x5d3b235,TRUE,626,none,3044,29488.1401.5.0,10.0.26177
01-04-2026,01-04-2026 07:57,gLxNajIS6t5HiZSY2pNJRt,g:717391621917583335,mobile,EDU_007,education_app_007,education,US,IL,CityB,US,US,EN,23,0x44d01e,0x547d206,TRUE,387,wallet,275,28984.1401.5.0,10.0.26109
01-04-2026,01-04-2026 15:32,rQYMhl12BRxsqFQFrVwhfh,g:336518682731688442,mobile,GAM_048,game_app_048,game,DE,BW,CityD,DE,DE,OTHER,59,0x2a32846,0x2491a1a,TRUE,558,upi,3437,28249.1401.5.0,10.0.29467
01-04-2026,01-04-2026 15:34,IZo44zWGdi7yHqkb7vA56c,g:456946520220806026,mobile,PRO_017,productivity_app_017,productivity,CA,SK,CityB,CA,CA,EN,29,0x76513e,0x48f615f,TRUE,523,wallet,2302,24216.1401.5.0,10.0.23598
01-04-2026,01-04-2026 08:44,euejmwAD2lHrzxg8kFTiAB,g:849141717702244862,mobile,EDU_006,education_app_006,education,IN,UP,CityE,IN,IN,EN,32,0x36a0bf4,0x1c0a570,TRUE,875,upi,4383,23894.1401.5.0,10.0.26350
01-04-2026,01-04-2026 17:13,9iSAPRM18AWfpvBZ7Oyq6A,g:388322353898663328,desktop,HEA_007,health_app_007,health,CA,MB,CityB,CA,CA,EN,57,0x13da9a5,0x338d54a,TRUE,515,card,1999,23770.1401.5.0,10.0.21757
01-04-2026,01-04-2026 10:31,LM2HQYDnI6O1XRKVtQfjxa,g:043069201101813314,mobile,HEA_007,health_app_007,health,IN,UP,CityA,IN,IN,EN,28,0x5bd386b,0x2380939,TRUE,340,none,426,26892.1401.5.0,10.0.25585
01-04-2026,01-04-2026 16:29,5bth4oAYyxnoIaBRdI6IEq,g:579253697804883927,desktop,GAM_067,game_app_067,game,IN,DL,CityC,IN,IN,EN,47,0x3042180,0x2686a35,FALSE,340,card,191,28187.1401.5.0,10.0.28124
01-04-2026,01-04-2026 11:45,lACtnhIImkQk8sjblr94Xk,g:692726493447580909,mobile,GAM_060,game_app_060,game,US,GA,CityB,US,US,EN,57,0x22bbce5,0x1f2378f,FALSE,487,card,4040,21543.1401.5.0,10.0.23431
01-04-2026,01-04-2026 13:26,fnvAh6KdieYCck56MwPW58,g:331137517286729231,desktop,SOC_028,social_app_028,social,IN,KA,CityB,IN,IN,EN,39,0x484626e,0x17f93c0,TRUE,853,upi,1857,23201.1401.5.0,10.0.25777
01-04-2026,01-04-2026 19:49,J434LgmBHBiQpZdVQsHrOX,g:186860491425575086,mobile,HEA_018,health_app_018,health,UK,SCT,CityE,UK,UK,EN,28,0x51c9bb,0x2ec1c49,TRUE,568,wallet,3873,28609.1401.5.0,10.0.25225
01-04-2026,01-04-2026 17:39,qJHIhYUn9sZKSPuJBDPriI,g:674545824500230169,mobile,SOC_025,social_app_025,social,DE,NW,CityA,DE,DE,OTHER,48,0x15a8d89,0x31536e6,TRUE,1292,wallet,4344,29290.1401.5.0,10.0.29099
01-04-2026,01-04-2026 15:48,MXahLQTuOV5f1ajJt7BWCb,g:702298748913670399,mobile,SOC_028,social_app_028,social,UK,SCT,CityE,UK,UK,EN,53,0x3f544a3,0xb194e1,FALSE,945,none,831,27981.1401.5.0,10.0.28290
01-04-2026,01-04-2026 09:30,1cFB6uBVSSC6w6J9X3knWf,g:499602926753654985,mobile,GAM_067,game_app_067,game,UK,NIR,CityD,UK,UK,OTHER,60,0x4804a44,0x4fb20f4,TRUE,1097,card,2311,28327.1401.5.0,10.0.21693
01-04-2026,01-04-2026 13:40,Dd0rO2f0BDXQ9JDneNm9XQ,g:177517694380773460,mobile,FIN_018,finance_app_018,finance,US,NY,CityD,US,US,EN,57,0x597def4,0x1c5276,TRUE,534,card,800,28093.1401.5.0,10.0.25790
01-04-2026,01-04-2026 06:41,RTbH1WsXfweByT69kWNAWz,g:154492451356054933,desktop,GAM_060,game_app_060,game,CA,SK,CityD,CA,CA,EN,34,0x37ad148,0x1f0f715,TRUE,234,wallet,4448,24710.1401.5.0,10.0.21246
01-04-2026,01-04-2026 12:58,W8lJAm0hu44BBEUWewSYIQ,g:291913482738214498,mobile,GAM_078,game_app_078,game,DE,SN,CityA,DE,DE,OTHER,53,0x5714271,0x15a26e4,TRUE,253,none,2492,20291.1401.5.0,10.0.23113
01-04-2026,01-04-2026 06:15,AebXovOHpC3Lkhi0AFes26,g:221423788006869865,desktop,PRO_023,productivity_app_023,productivity,UK,WLS,CityB,UK,UK,OTHER,22,0x3746081,0x20fecbc,FALSE,947,upi,2457,28632.1401.5.0,10.0.27073
01-04-2026,01-04-2026 23:12,85efjaeWgFKEvPVqI2dZys,g:922053189660084000,mobile,SOC_009,social_app_009,social,US,FL,CityE,US,US,EN,60,0x4c44f60,0x1d861b9,FALSE,418,wallet,2525,28525.1401.5.0,10.0.22371
01-04-2026,01-04-2026 12:32,RiDbMjhhw4p70PC48gvcF0,g:606463401067335651,mobile,GAM_067,game_app_067,game,UK,SCT,CityC,UK,UK,EN,56,0x441e4fc,0x4e2bcc1,TRUE,744,card,3214,24093.1401.5.0,10.0.25103
01-04-2026,01-04-2026 14:03,xCtBmZgNPgBDN27h6DKtsM,g:190160913195534096,desktop,GAM_050,game_app_050,game,CA,BC,CityE,CA,CA,OTHER,24,0x3ca34f1,0x17e9377,TRUE,1268,none,1228,29861.1401.5.0,10.0.24408
01-04-2026,01-04-2026 05:36,eEEFmNBHTJqJttqTGULwKm,g:797273530659489087,desktop,SOC_028,social_app_028,social,US,TX,CityA,US,US,EN,54,0x35b4f2a,0x3c59394,TRUE,619,none,657,29364.1401.5.0,10.0.29927
01-04-2026,01-04-2026 09:54,lUgwSFxUHwqipB9sGPMuNz,g:057278451524365340,desktop,GAM_067,game_app_067,game,US,GA,CityE,US,US,EN,54,0x40441c3,0x38f9369,TRUE,969,none,239,24206.1401.5.0,10.0.24627
01-04-2026,01-04-2026 04:32,7ItnmCq7Viqw0E3ZDqKSsz,g:652011023955030256,mobile,SOC_028,social_app_028,social,US,AZ,CityE,US,US,EN,44,0x1c36a3,0x47b7a72,TRUE,1142,none,1090,21301.1401.5.0,10.0.23838
01-04-2026,01-04-2026 21:20,zJPOP9h6WXR20Ttl92qoaX,g:487245603622428000,desktop,GAM_057,game_app_057,game,UK,SCT,CityE,UK,UK,OTHER,58,0x598ac3c,0x3750894,TRUE,1218,card,1855,28847.1401.5.0,10.0.22711
01-04-2026,01-04-2026 19:59,0ccuatDdvGPJ2J8de8K4rQ,g:769624575997684611,mobile,PRO_044,productivity_app_044,productivity,CA,MB,CityC,CA,CA,EN,45,0x4582f70,0x335fca1,TRUE,1124,card,961,20716.1401.5.0,10.0.28536
01-04-2026,01-04-2026 09:38,WFEINyQap1y9j4Ln6OSW8l,g:908052458309161118,desktop,SOC_019,social_app_019,social,IN,MH,CityA,IN,IN,EN,43,0x2e70cac,0x3a61b74,TRUE,53,card,3517,23036.1401.5.0,10.0.28034
01-04-2026,01-04-2026 02:28,aS8PXj2M0U2ztjVKetrWZu,g:519812128578361162,mobile,GAM_027,game_app_027,game,IN,WB,CityD,IN,IN,OTHER,41,0x368eea0,0x30f7ef3,TRUE,242,card,4677,27316.1401.5.0,10.0.27772
01-04-2026,01-04-2026 23:40,A53zrAqL1z6eF1Rf4va0WJ,g:386717661831059244,mobile,PRO_002,productivity_app_002,productivity,US,WA,CityC,US,US,OTHER,31,0x3ac5ad4,0x4efaf6a,TRUE,536,card,4378,28059.1401.5.0,10.0.22223
01-04-2026,01-04-2026 23:24,13GGHBAJf0lb5tbVTNnH5R,g:741738450113503047,mobile,GAM_055,game_app_055,game,US,IL,CityA,US,US,EN,38,0x91857c,0x5da795d,TRUE,909,card,3749,23064.1401.5.0,10.0.29965
01-04-2026,01-04-2026 16:57,GRvMIfqKKCZMxzLI5sUxYs,g:163055512025523088,mobile,GAM_033,game_app_033,game,DE,RP,CityC,DE,DE,EN,31,0x3e454c0,0x576f968,FALSE,247,wallet,3822,20378.1401.5.0,10.0.22745
01-04-2026,01-04-2026 12:31,NGdmOgf6AInNDAVbVvhfx7,g:205717172254592851,mobile,EDU_013,education_app_013,education,US,NY,CityD,US,US,OTHER,22,0x416fa14,0x1d46d5c,TRUE,811,wallet,2247,22972.1401.5.0,10.0.24800
01-04-2026,01-04-2026 10:36,F745ZXaBetPqao3LLCAuUt,g:110306962538289771,mobile,GAM_078,game_app_078,game,UK,NIR,CityC,UK,UK,EN,47,0x1be71fc,0x411c95,TRUE,543,upi,3412,28630.1401.5.0,10.0.24580
01-04-2026,01-04-2026 08:09,bh94Mm51xubAoy6qqKdCDF,g:743125986921271552,mobile,HEA_007,health_app_007,health,DE,HE,CityA,DE,DE,EN,34,0x34290fd,0x2c62f67,TRUE,1088,card,1010,20335.1401.5.0,10.0.26622
01-04-2026,01-04-2026 04:30,pxU2S76w2oJ1YuuRySNXTX,g:550927803079112816,mobile,GAM_067,game_app_067,game,DE,HH,CityA,DE,DE,OTHER,35,0x953747,0x41019ac,TRUE,53,card,2330,26449.1401.5.0,10.0.24191
01-04-2026,01-04-2026 18:51,quudjIsIW6xAFY3PAo9uJT,g:623084259631765418,mobile,SOC_028,social_app_028,social,IN,MH,CityB,IN,IN,EN,28,0x17a14e9,0x49ffe9f,FALSE,938,card,3365,28504.1401.5.0,10.0.22152
01-04-2026,01-04-2026 16:31,mfjLFfeyo1JIVbwwwe7gX6,g:509683004674959368,mobile,FIN_018,finance_app_018,finance,IN,KA,CityB,IN,IN,OTHER,53,0x399b26e,0x60078f,TRUE,1011,none,2923,27390.1401.5.0,10.0.29913
01-04-2026,01-04-2026 09:00,EJHh5rVzZ8Aq70QuRLLCVL,g:088584341437921066,mobile,SOC_028,social_app_028,social,DE,HH,CityC,DE,DE,OTHER,48,0x5ece8a7,0x395bcd,TRUE,456,card,3467,28153.1401.5.0,10.0.29959
01-04-2026,01-04-2026 11:56,9mvAHOfE0yDywaHNiQVoDy,g:210193630443018458,mobile,PRO_040,productivity_app_040,productivity,DE,NW,CityD,DE,DE,EN,57,0x1983964,0x18af9df,TRUE,150,wallet,1538,24585.1401.5.0,10.0.28916
01-04-2026,01-04-2026 08:00,plFaS3yt1YwLB0M17zNSBp,g:334612867190402807,mobile,PRO_020,productivity_app_020,productivity,DE,BW,CityA,DE,DE,EN,43,0x46d4be0,0x1e299f9,TRUE,192,card,2235,24022.1401.5.0,10.0.23907
01-04-2026,01-04-2026 05:20,MYSX9p2KtZnLTScPzscre3,g:106033261223491687,mobile,PRO_010,productivity_app_010,productivity,US,CA,CityC,US,US,EN,61,0x2cbdaf8,0xcff37b,TRUE,246,card,1089,27031.1401.5.0,10.0.20834
01-04-2026,01-04-2026 20:44,vUVyMPFWRGeoOanc7Dt0rH,g:022746791680975887,tablet,HEA_018,health_app_018,health,DE,HH,CityA,DE,DE,EN,31,0x328a794,0x32db35b,TRUE,713,card,1208,22764.1401.5.0,10.0.26997
01-04-2026,01-04-2026 13:26,fQHPeNoykIoh3pSywjqKT2,g:818672463635922835,mobile,HEA_007,health_app_007,health,IN,UP,CityE,IN,IN,EN,51,0x52072e9,0x219242d,TRUE,1001,none,1250,23359.1401.5.0,10.0.23162
01-04-2026,01-04-2026 21:32,m3oRB5blGfz3ybKEV86Vrb,g:210397566794975909,mobile,EDU_002,education_app_002,education,US,NY,CityA,US,US,EN,50,0x52362fe,0x1150921,TRUE,964,card,2268,23138.1401.5.0,10.0.26935
01-04-2026,01-04-2026 08:12,OyRfIHwafkguwRSk9bDQmM,g:975064963430887481,mobile,GAM_051,game_app_051,game,US,NY,CityD,US,US,OTHER,40,0x52dd193,0x1c84937,FALSE,80,card,2875,21403.1401.5.0,10.0.26729
01-04-2026,01-04-2026 10:52,JNysttsRkSW9RKqnBloE88,g:412010671533339273,mobile,FIN_011,finance_app_011,finance,CA,MB,CityC,CA,CA,EN,54,0x350aa5f,0x62ca71,FALSE,219,wallet,2309,21597.1401.5.0,10.0.24826
01-04-2026,01-04-2026 20:29,k5s7ttcQmRsPfQlmZY5lAI,g:990167798942512898,mobile,HEA_021,health_app_021,health,CA,BC,CityB,CA,CA,OTHER,21,0x165c6d4,0x338442d,FALSE,487,upi,4885,25278.1401.5.0,10.0.21350
01-04-2026,01-04-2026 22:54,tzeceeIscrGoHwP43zwITo,g:180276693683687004,mobile,GAM_060,game_app_060,game,US,IL,CityA,US,US,OTHER,30,0x1739949,0x1716218,TRUE,811,card,784,21141.1401.5.0,10.0.20479
01-04-2026,01-04-2026 15:05,mspQtZ2EYCQjtYRsqmXxpf,g:101230285156447235,mobile,GAM_034,game_app_034,game,IN,GJ,CityD,IN,IN,OTHER,38,0x4ade020,0x3609f8a,TRUE,38,card,2092,20609.1401.5.0,10.0.20868
01-04-2026,01-04-2026 16:37,MiwIofyMd1UAcyzMXxDPNK,g:529340524579954043,desktop,FIN_016,finance_app_016,finance,US,WA,CityA,US,US,OTHER,58,0x1327871,0x2e0951b,TRUE,1130,card,268,25150.1401.5.0,10.0.27984
01-04-2026,01-04-2026 17:28,fvb66xylh1FaQmJNvLhRGU,g:402556311332555741,desktop,SOC_028,social_app_028,social,US,WA,CityE,US,US,EN,44,0xfe9d80,0xbdbede,TRUE,387,wallet,4967,28069.1401.5.0,10.0.22415
01-04-2026,01-04-2026 07:23,AsfFJbT3F4c6kJJ1lMb2zm,g:867336902591224832,mobile,HEA_007,health_app_007,health,CA,MB,CityB,CA,CA,EN,35,0x5e728ed,0xd5097f,TRUE,198,none,1258,24957.1401.5.0,10.0.25689
